category,domain_name,file_name,file_urls,files,meaning,word
n.m.,uchicago_S_Hassan,bānι,http://dsal.uchicago.edu/dictionaries/hassan/audio//00575.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00575.mp3', 'path': 'uchicago_S_Hassan/bānι.mp3', 'checksum': 'f0c9514743c33ce5e08d66c64d012e7a', 'status': 'downloaded'}]","pot, utensils, urn, container, gadget",bānι
n.m.,uchicago_S_Hassan,bāpʰtʰur,http://dsal.uchicago.edu/dictionaries/hassan/audio//00578.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00578.mp3', 'path': 'uchicago_S_Hassan/bāpʰtʰur.mp3', 'checksum': 'a23ae6351778ca5bea01aef07070018d', 'status': 'downloaded'}]","nephew, brother’s son",bāpʰtʰur
n.m.,uchicago_S_Hassan,bānιkuṭʰ,http://dsal.uchicago.edu/dictionaries/hassan/audio//00576.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00576.mp3', 'path': 'uchicago_S_Hassan/bānιkuṭʰ.mp3', 'checksum': '9816e819ab584240c1209b438abd15e1', 'status': 'downloaded'}]",larder,bānιkuṭʰ
n.,uchicago_S_Hassan,bāpatʰ,http://dsal.uchicago.edu/dictionaries/hassan/audio//00577.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00577.mp3', 'path': 'uchicago_S_Hassan/bāpatʰ.mp3', 'checksum': 'b5954edc089ec79bc9b0ca1b76588a65', 'status': 'downloaded'}]","for sake of, behalf, purpose",bāpatʰ
n.m.,uchicago_S_Hassan,bār,http://dsal.uchicago.edu/dictionaries/hassan/audio//00580.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00580.mp3', 'path': 'uchicago_S_Hassan/bār.mp3', 'checksum': 'fec91b91c13b0c43f1590945b32e8737', 'status': 'downloaded'}]","load, burden, oppress, overload",bār
n.,uchicago_S_Hassan,bāšindar,http://dsal.uchicago.edu/dictionaries/hassan/audio//00582.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00582.mp3', 'path': 'uchicago_S_Hassan/bāšindar.mp3', 'checksum': '1667952ad862db28772b15c0449eddf3', 'status': 'downloaded'}]","inhabitant, resident, citizen, occupant",bāšindar
n.m.,uchicago_S_Hassan,bāšendι,http://dsal.uchicago.edu/dictionaries/hassan/audio//00581.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00581.mp3', 'path': 'uchicago_S_Hassan/bāšendι.mp3', 'checksum': '0611a29663db5514139b5e9be9ed80da', 'status': 'downloaded'}]","inhabitant, resident, civilian, city dweller, citizen, occupant, denizen",bāšendι
n.m.,uchicago_S_Hassan,bāpə̄r,http://dsal.uchicago.edu/dictionaries/hassan/audio//00579.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00579.mp3', 'path': 'uchicago_S_Hassan/bāpə̄r.mp3', 'checksum': '15c0e14eafd1036ee424c963aa748cb5', 'status': 'downloaded'}]","tradesman, trader, merchant, seller, broker, wholesaler",bāpə̄r
n.f.,uchicago_S_Hassan,bāvzι,http://dsal.uchicago.edu/dictionaries/hassan/audio//00584.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00584.mp3', 'path': 'uchicago_S_Hassan/bāvzι.mp3', 'checksum': 'fc741be418f5ddb5f6b36679168098a0', 'status': 'downloaded'}]","niece, brother’s daughter",bāvzι
n.m.,uchicago_S_Hassan,bāṭur,http://dsal.uchicago.edu/dictionaries/hassan/audio//00583.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00583.mp3', 'path': 'uchicago_S_Hassan/bāṭur.mp3', 'checksum': '6739f1b4433a5580cc70be2d45eb375e', 'status': 'downloaded'}]","quail, a bird",bāṭur
v.,uchicago_S_Hassan,bāwun,http://dsal.uchicago.edu/dictionaries/hassan/audio//00585.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00585.mp3', 'path': 'uchicago_S_Hassan/bāwun.mp3', 'checksum': '2325e9e842357f3f36a6da90b02d7fc0', 'status': 'downloaded'}]","to relate, to share, narrate, tell, speak about, convey",bāwun
v.,uchicago_S_Hassan,bāz,http://dsal.uchicago.edu/dictionaries/hassan/audio//00587.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00587.mp3', 'path': 'uchicago_S_Hassan/bāz.mp3', 'checksum': 'b12785f41ace8ad7ace5cfaa4ccf8bd0', 'status': 'downloaded'}]","prey, victim, target",bāz
v.,uchicago_S_Hassan,bāv,http://dsal.uchicago.edu/dictionaries/hassan/audio//00586.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00586.mp3', 'path': 'uchicago_S_Hassan/bāv.mp3', 'checksum': '64f034003ea08a43a487962996671f98', 'status': 'downloaded'}]","to show, demonstrate, explain",bāv
n.m.,uchicago_S_Hassan,bāzār,http://dsal.uchicago.edu/dictionaries/hassan/audio//00588.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00588.mp3', 'path': 'uchicago_S_Hassan/bāzār.mp3', 'checksum': '92e2bee5f0d413a1270013666de05315', 'status': 'downloaded'}]","street, market",bāzār
adj.,uchicago_S_Hassan,bɔcʰιhot,http://dsal.uchicago.edu/dictionaries/hassan/audio//00589.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00589.mp3', 'path': 'uchicago_S_Hassan/bɔcʰιhot.mp3', 'checksum': 'bfb173d3752092d0da1e00504e09a97a', 'status': 'downloaded'}]","starving, hungry, famished",bɔcʰιhot
n.f.,uchicago_S_Hassan,bɔcʰι,http://dsal.uchicago.edu/dictionaries/hassan/audio//00590.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00590.mp3', 'path': 'uchicago_S_Hassan/bɔcʰι.mp3', 'checksum': '485c10313e844492df86ad3ca7e91dbd', 'status': 'downloaded'}]","appetite, hunger, craving, need to eat, desire for food, eagerness",bɔcʰι
v.,uchicago_S_Hassan,bɔn wasun,http://dsal.uchicago.edu/dictionaries/hassan/audio//00592.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00592.mp3', 'path': 'uchicago_S_Hassan/bɔn wasun.mp3', 'checksum': '6b2e5fcaeed273a4fbcdc640c6c61112', 'status': 'downloaded'}]","to descend, go down, move down, come down, slide down, fall down, tumble down",bɔn wasun
n.f.,uchicago_S_Hassan,bɔkwǝṭ,http://dsal.uchicago.edu/dictionaries/hassan/audio//00591.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00591.mp3', 'path': 'uchicago_S_Hassan/bɔkwǝṭ.mp3', 'checksum': '32c438cf9f8ff773ff6827a5604c57ea', 'status': 'downloaded'}]",kidney,bɔkwǝṭ
prep.,uchicago_S_Hassan,bɔn,http://dsal.uchicago.edu/dictionaries/hassan/audio//00593.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00593.mp3', 'path': 'uchicago_S_Hassan/bɔn.mp3', 'checksum': '6a039737369dd08d31f7a53f95abb338', 'status': 'downloaded'}]","below, under, underneath, beneath, lower than",bɔn
adv.,uchicago_S_Hassan,bɔnkun,http://dsal.uchicago.edu/dictionaries/hassan/audio//00594.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00594.mp3', 'path': 'uchicago_S_Hassan/bɔnkun.mp3', 'checksum': '50fe49ecb893dbe55e004f79c7788238', 'status': 'downloaded'}]",downwards,bɔnkun
adv.,uchicago_S_Hassan,bɔnι,http://dsal.uchicago.edu/dictionaries/hassan/audio//00595.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00595.mp3', 'path': 'uchicago_S_Hassan/bɔnι.mp3', 'checksum': 'c4a8be0496d9a8588c9c794915545187', 'status': 'downloaded'}]","down, downward, downstairs",bɔnι
adv.,uchicago_S_Hassan,be-adabi,http://dsal.uchicago.edu/dictionaries/hassan/audio//00597.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00597.mp3', 'path': 'uchicago_S_Hassan/be-adabi.mp3', 'checksum': 'bc6c3df6b6ca4080fdf8aa948e07f035', 'status': 'downloaded'}]","disrespectfully, impolitely, impertinently",be-adabi
adj.,uchicago_S_Hassan,bedil,http://dsal.uchicago.edu/dictionaries/hassan/audio//00599.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00599.mp3', 'path': 'uchicago_S_Hassan/bedil.mp3', 'checksum': '89c1c2d357fef987d49ae1cd3c7737e5', 'status': 'downloaded'}]","unmanly, incapable, toothless, defenseless",bedil
n.m.,uchicago_S_Hassan,bɔtal,http://dsal.uchicago.edu/dictionaries/hassan/audio//00596.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00596.mp3', 'path': 'uchicago_S_Hassan/bɔtal.mp3', 'checksum': '305dab1ee8f6a84f871e05d7ee9d5742', 'status': 'downloaded'}]","bottle, container",bɔtal
adj.,uchicago_S_Hassan,be-ār,http://dsal.uchicago.edu/dictionaries/hassan/audio//00598.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00598.mp3', 'path': 'uchicago_S_Hassan/be-ār.mp3', 'checksum': '75e11139c3808c3c562aabc76b2452ce', 'status': 'downloaded'}]",merciless,be-ār
n.,uchicago_S_Hassan,bedīn,http://dsal.uchicago.edu/dictionaries/hassan/audio//00600.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00600.mp3', 'path': 'uchicago_S_Hassan/bedīn.mp3', 'checksum': 'b1ee989ccf2f67179bb1ddb306175de2', 'status': 'downloaded'}]",infidel,bedīn
v.,uchicago_S_Hassan,behnāwun,http://dsal.uchicago.edu/dictionaries/hassan/audio//00602.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00602.mp3', 'path': 'uchicago_S_Hassan/behnāwun.mp3', 'checksum': '913b4c0f7ecb9b7a876c80f33e898963', 'status': 'downloaded'}]","set down, set aside, put away, lay down",behnāwun
n.,uchicago_S_Hassan,begānι,http://dsal.uchicago.edu/dictionaries/hassan/audio//00601.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00601.mp3', 'path': 'uchicago_S_Hassan/begānι.mp3', 'checksum': 'd1cd84ce06851b954b891eb71588771c', 'status': 'downloaded'}]","foreigner, stranger, alien",begānι
adj.,uchicago_S_Hassan,be-insāf,http://dsal.uchicago.edu/dictionaries/hassan/audio//00605.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00605.mp3', 'path': 'uchicago_S_Hassan/be-insāf.mp3', 'checksum': '8112daf23a63e92f853271fca63a1f3e', 'status': 'downloaded'}]","unjust, unfair, undue",be-insāf
adj.,uchicago_S_Hassan,behōš,http://dsal.uchicago.edu/dictionaries/hassan/audio//00603.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00603.mp3', 'path': 'uchicago_S_Hassan/behōš.mp3', 'checksum': '281940f4051f4a4cb778b485827965eb', 'status': 'downloaded'}]","numb, lacking feeling, insensitive, anesthetized, hardhearted",behōš
adj.,uchicago_S_Hassan,bēkʰabar,http://dsal.uchicago.edu/dictionaries/hassan/audio//00606.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00606.mp3', 'path': 'uchicago_S_Hassan/bēkʰabar.mp3', 'checksum': '6093d2fbfbb53c8044d27052ac0f10f6', 'status': 'downloaded'}]","unaware, ignorant, unconscious, innocent",bēkʰabar
adj.,uchicago_S_Hassan,bǝhʸum,http://dsal.uchicago.edu/dictionaries/hassan/audio//00604.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00604.mp3', 'path': 'uchicago_S_Hassan/bǝhʸum.mp3', 'checksum': 'a68165727a39bfdd3c79ffd3497c0aa0', 'status': 'downloaded'}]",twelfth,bǝhʸum
n.m.,uchicago_S_Hassan,bēlci,http://dsal.uchicago.edu/dictionaries/hassan/audio//00608.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00608.mp3', 'path': 'uchicago_S_Hassan/bēlci.mp3', 'checksum': 'beab4ddb0a6c7e7428667819fa3fa471', 'status': 'downloaded'}]","spade, scoop",bēlci
adj.,uchicago_S_Hassan,bemār,http://dsal.uchicago.edu/dictionaries/hassan/audio//00609.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00609.mp3', 'path': 'uchicago_S_Hassan/bemār.mp3', 'checksum': 'fb2942792cbd1e4ded61760cb21573c8', 'status': 'downloaded'}]","ill, unwell, sick",bemār
n.f.,uchicago_S_Hassan,bekʰāwaⁿd,http://dsal.uchicago.edu/dictionaries/hassan/audio//00607.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00607.mp3', 'path': 'uchicago_S_Hassan/bekʰāwaⁿd.mp3', 'checksum': '831d520b522eebcd33515205f4714d3a', 'status': 'downloaded'}]",widow,bekʰāwaⁿd
adj.,uchicago_S_Hassan,bereham,http://dsal.uchicago.edu/dictionaries/hassan/audio//00613.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00613.mp3', 'path': 'uchicago_S_Hassan/bereham.mp3', 'checksum': '74c9856ae0a050208661b2557ff7b168', 'status': 'downloaded'}]","brutal, unkind, mean, heartless, ruthless, harsh",bereham
n.f.,uchicago_S_Hassan,beni,http://dsal.uchicago.edu/dictionaries/hassan/audio//00611.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00611.mp3', 'path': 'uchicago_S_Hassan/beni.mp3', 'checksum': '1e3d48f9d4abccadb551ba26cb357b51', 'status': 'downloaded'}]","sister, daughter of the same parent",beni
n.,uchicago_S_Hassan,bemə̄r,http://dsal.uchicago.edu/dictionaries/hassan/audio//00610.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00610.mp3', 'path': 'uchicago_S_Hassan/bemə̄r.mp3', 'checksum': 'aae2d8b29d7bd0718e38eca730a0e954', 'status': 'downloaded'}]","disease, illness, sickness, ailment, virus, infection, disorder, complaint",bemə̄r
v.,uchicago_S_Hassan,bād pakun,http://dsal.uchicago.edu/dictionaries/hassan/audio//00612.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00612.mp3', 'path': 'uchicago_S_Hassan/bād pakun.mp3', 'checksum': '92788bf763783b46bbf5d68bf7da3245', 'status': 'downloaded'}]","the breaking of wind with noise, syphilis to occur",bād pakun
adj.,uchicago_S_Hassan,betāb,http://dsal.uchicago.edu/dictionaries/hassan/audio//00614.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00614.mp3', 'path': 'uchicago_S_Hassan/betāb.mp3', 'checksum': 'b6a009b445090ee2354cca0413341397', 'status': 'downloaded'}]","restless, annoyed, restive, impatient",betāb
adv.,uchicago_S_Hassan,beyi ti beyi,http://dsal.uchicago.edu/dictionaries/hassan/audio//00617.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00617.mp3', 'path': 'uchicago_S_Hassan/beyi ti beyi.mp3', 'checksum': '6842a2b3213c4fe9dd00958fa5ae8cac', 'status': 'downloaded'}]","many times, repeatedly again and again over and over persistently",beyi ti beyi
adj.,uchicago_S_Hassan,beyi akh,http://dsal.uchicago.edu/dictionaries/hassan/audio//00616.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00616.mp3', 'path': 'uchicago_S_Hassan/beyi akh.mp3', 'checksum': '7950194f4edc5fedbecc3dda2ae90f96', 'status': 'downloaded'}]","one more, another, an additional, an extra, an added",beyi akh
adv.,uchicago_S_Hassan,beyi pʰiri,http://dsal.uchicago.edu/dictionaries/hassan/audio//00619.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00619.mp3', 'path': 'uchicago_S_Hassan/beyi pʰiri.mp3', 'checksum': 'f3c12f3f4e3e94d7730d263626fdeb07', 'status': 'downloaded'}]","again, once more, another time, yet again, for a second time",beyi pʰiri
adv.,uchicago_S_Hassan,be-yezti sān,http://dsal.uchicago.edu/dictionaries/hassan/audio//00615.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00615.mp3', 'path': 'uchicago_S_Hassan/be-yezti sān.mp3', 'checksum': 'f5ae54764c4976aef0472b50947f87af', 'status': 'downloaded'}]","disrespectfully, impolitely, impertinently",be-yezti sān
n.,uchicago_S_Hassan,beyi kaⁿh,http://dsal.uchicago.edu/dictionaries/hassan/audio//00618.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00618.mp3', 'path': 'uchicago_S_Hassan/beyi kaⁿh.mp3', 'checksum': 'dadbfd00476003e62be305c0d20ed149', 'status': 'downloaded'}]","anybody, any person, anyone",beyi kaⁿh
adv.,uchicago_S_Hassan,beyι,http://dsal.uchicago.edu/dictionaries/hassan/audio//00622.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00622.mp3', 'path': 'uchicago_S_Hassan/beyι.mp3', 'checksum': 'bc35365518f43d0a7f387d5db26d9069', 'status': 'downloaded'}]","more, additional, further, other",beyι
adj.,uchicago_S_Hassan,becʰun,http://dsal.uchicago.edu/dictionaries/hassan/audio//00623.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00623.mp3', 'path': 'uchicago_S_Hassan/becʰun.mp3', 'checksum': '6c014d5579f3fcc7f67e20c77b007273', 'status': 'downloaded'}]",begging,becʰun
adv.,uchicago_S_Hassan,beyi vizi,http://dsal.uchicago.edu/dictionaries/hassan/audio//00620.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00620.mp3', 'path': 'uchicago_S_Hassan/beyi vizi.mp3', 'checksum': 'a84bcf05ffda80fdb33cbabe88ddfb7a', 'status': 'downloaded'}]","next time, another time",beyi vizi
conj.,uchicago_S_Hassan,beyι,http://dsal.uchicago.edu/dictionaries/hassan/audio//00621.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00621.mp3', 'path': 'uchicago_S_Hassan/beyι.mp3', 'checksum': '3a8c33700b7b7a32e896894fd3127a37', 'status': 'downloaded'}]","and, in addition to, as well as, plus",beyι
n.m.,uchicago_S_Hassan,bʸecʰvun,http://dsal.uchicago.edu/dictionaries/hassan/audio//00624.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00624.mp3', 'path': 'uchicago_S_Hassan/bʸecʰvun.mp3', 'checksum': '6add2589b899b0552f9edcc928aa20d4', 'status': 'downloaded'}]","beggar, homeless person, vagrant",bʸecʰvun
v.,uchicago_S_Hassan,bʸeh,http://dsal.uchicago.edu/dictionaries/hassan/audio//00625.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00625.mp3', 'path': 'uchicago_S_Hassan/bʸeh.mp3', 'checksum': 'd27a388144e496cbd3fcf5b9743f7ab9', 'status': 'downloaded'}]","be seated, take a seat, park yourself",bʸeh
v.,uchicago_S_Hassan,bekār karun,http://dsal.uchicago.edu/dictionaries/hassan/audio//00627.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00627.mp3', 'path': 'uchicago_S_Hassan/bekār karun.mp3', 'checksum': 'd5daeded9ea1d888fcedf1df000e07ea', 'status': 'downloaded'}]","dismiss, fire, reject, lay off, give somebody the pink slip",bekār karun
adj.,uchicago_S_Hassan,bʸekarār,http://dsal.uchicago.edu/dictionaries/hassan/audio//00628.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00628.mp3', 'path': 'uchicago_S_Hassan/bʸekarār.mp3', 'checksum': 'a89dd816a1f4131669d7e5265732da3e', 'status': 'downloaded'}]","uncomfortable, painful",bʸekarār
v.,uchicago_S_Hassan,bʸehnāwun,http://dsal.uchicago.edu/dictionaries/hassan/audio//00626.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00626.mp3', 'path': 'uchicago_S_Hassan/bʸehnāwun.mp3', 'checksum': '834010a191d706923842a59bcf17cf12', 'status': 'downloaded'}]",cause to sit,bʸehnāwun
adj.,uchicago_S_Hassan,be-andāz,http://dsal.uchicago.edu/dictionaries/hassan/audio//00629.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00629.mp3', 'path': 'uchicago_S_Hassan/be-andāz.mp3', 'checksum': '76d078f31709cc6dc65bda41d8ebc448', 'status': 'downloaded'}]","unskillful, lacking ability, unpromising",be-andāz
adj.,uchicago_S_Hassan,bemārdə̄rī,http://dsal.uchicago.edu/dictionaries/hassan/audio//00631.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00631.mp3', 'path': 'uchicago_S_Hassan/bemārdə̄rī.mp3', 'checksum': '98e85f1b80770abd8644c8533dbff43a', 'status': 'downloaded'}]","sick condition, ill, unwell, ailing not a hundred percent",bemārdə̄rī
adj.,uchicago_S_Hassan,bemazι,http://dsal.uchicago.edu/dictionaries/hassan/audio//00632.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00632.mp3', 'path': 'uchicago_S_Hassan/bemazι.mp3', 'checksum': '6edf33ef7e6d1f8b7bada086c8255100', 'status': 'downloaded'}]","tasteless, flavorless, in poor taste, cheap",bemazι
adj.,uchicago_S_Hassan,belazat,http://dsal.uchicago.edu/dictionaries/hassan/audio//00630.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00630.mp3', 'path': 'uchicago_S_Hassan/belazat.mp3', 'checksum': '90f516c83abd500ec9e683040c92fab4', 'status': 'downloaded'}]","tasteless, flavorless, in poor taste, cheap",belazat
adj.,uchicago_S_Hassan,beparwah,http://dsal.uchicago.edu/dictionaries/hassan/audio//00633.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00633.mp3', 'path': 'uchicago_S_Hassan/beparwah.mp3', 'checksum': '5b03d8b557c033f73ad9ef705bfb25af', 'status': 'downloaded'}]","thoughtless, inconsiderate, careless, negligent",beparwah
adj.,uchicago_S_Hassan,bešūb,http://dsal.uchicago.edu/dictionaries/hassan/audio//00634.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00634.mp3', 'path': 'uchicago_S_Hassan/bešūb.mp3', 'checksum': 'c961499c53dcf2cb0a57100e1c66432b', 'status': 'downloaded'}]","worthless, of no value, useless, meaningless",bešūb
adj.,uchicago_S_Hassan,betāb,http://dsal.uchicago.edu/dictionaries/hassan/audio//00635.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00635.mp3', 'path': 'uchicago_S_Hassan/betāb.mp3', 'checksum': '0007ca851a36ae17a916f5f5d42b78ef', 'status': 'downloaded'}]","impatient, fervent, intolerant, eager, hasty",betāb
n.m.,uchicago_S_Hassan,be-tartīb,http://dsal.uchicago.edu/dictionaries/hassan/audio//00636.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00636.mp3', 'path': 'uchicago_S_Hassan/be-tartīb.mp3', 'checksum': '24466438fa27d7f0f2e89c9f121b560b', 'status': 'downloaded'}]","disorder, chaos, confusion, mess, unrest",be-tartīb
adj.,uchicago_S_Hassan,be-arām,http://dsal.uchicago.edu/dictionaries/hassan/audio//00638.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00638.mp3', 'path': 'uchicago_S_Hassan/be-arām.mp3', 'checksum': '400f989a58f47719d189b6752b78b7d7', 'status': 'downloaded'}]","uneasy, uncomfortable, anxious",be-arām
adj.,uchicago_S_Hassan,bēdār,http://dsal.uchicago.edu/dictionaries/hassan/audio//00639.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00639.mp3', 'path': 'uchicago_S_Hassan/bēdār.mp3', 'checksum': '57b57ecd01ecddd18ad700918bc93c70', 'status': 'downloaded'}]","vigilant, watchful, alert, attentive, aware, observant, wary",bēdār
n.,uchicago_S_Hassan,beṭʰak,http://dsal.uchicago.edu/dictionaries/hassan/audio//00637.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00637.mp3', 'path': 'uchicago_S_Hassan/beṭʰak.mp3', 'checksum': 'aaa0840372bed172946bbf3cf28d9faa', 'status': 'downloaded'}]",assembly,beṭʰak
v.,uchicago_S_Hassan,becʰ,http://dsal.uchicago.edu/dictionaries/hassan/audio//00640.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00640.mp3', 'path': 'uchicago_S_Hassan/becʰ.mp3', 'checksum': 'd8f2c4584ad7791ae821eda176158270', 'status': 'downloaded'}]","begging, pleading, ask for",becʰ
v.,uchicago_S_Hassan,bēklun,http://dsal.uchicago.edu/dictionaries/hassan/audio//00641.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00641.mp3', 'path': 'uchicago_S_Hassan/bēklun.mp3', 'checksum': 'b628a0f32167adfe954dfcccd1fc65ad', 'status': 'downloaded'}]",to become fool,bēklun
n.f.,uchicago_S_Hassan,bēklə̄zi,http://dsal.uchicago.edu/dictionaries/hassan/audio//00642.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00642.mp3', 'path': 'uchicago_S_Hassan/bēklə̄zi.mp3', 'checksum': '6ecc6f60335ab83d02c88a02f1551214', 'status': 'downloaded'}]","foolishness, stupidity, idiocy",bēklə̄zi
adj.,uchicago_S_Hassan,bēkιl,http://dsal.uchicago.edu/dictionaries/hassan/audio//00643.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00643.mp3', 'path': 'uchicago_S_Hassan/bēkιl.mp3', 'checksum': '18e806a43c2bd8a6fd1637a93c37cc41', 'status': 'downloaded'}]","senseless, stupid, silly, foolish, mindless, idiotic",bēkιl
adj.,uchicago_S_Hassan,bedemāg,http://dsal.uchicago.edu/dictionaries/hassan/audio//00644.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00644.mp3', 'path': 'uchicago_S_Hassan/bedemāg.mp3', 'checksum': 'b9b489385c7a0fa859c8e953d1e80d01', 'status': 'downloaded'}]","stupid, unintelligent, brainless, foolish, silly",bedemāg
adj.,uchicago_S_Hassan,bēwafā,http://dsal.uchicago.edu/dictionaries/hassan/audio//00645.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00645.mp3', 'path': 'uchicago_S_Hassan/bēwafā.mp3', 'checksum': 'b56e21351d12cd1e5518a6f15ba450ff', 'status': 'downloaded'}]","faithless, untrustworthy, disloyal",bēwafā
adj.,uchicago_S_Hassan,bēwukūf,http://dsal.uchicago.edu/dictionaries/hassan/audio//00646.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00646.mp3', 'path': 'uchicago_S_Hassan/bēwukūf.mp3', 'checksum': '90168eb59e3cc605fde757adf6c86f21', 'status': 'downloaded'}]","silly, stupid, childish, ridiculous, mad",bēwukūf
n.m.,uchicago_S_Hassan,bēlʸ,http://dsal.uchicago.edu/dictionaries/hassan/audio//00647.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00647.mp3', 'path': 'uchicago_S_Hassan/bēlʸ.mp3', 'checksum': '48349d7219336cdfafe6e9cb7b01ba9c', 'status': 'downloaded'}]",spade,bēlʸ
